Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,25.617466,28.876225,24.757517,25.029079,22.296930,144940746
2015-02-01,25.119600,25.617466,23.173397,24.983818,22.256611,54885535
2015-03-01,25.210121,25.753248,21.453497,22.811314,20.321253,96700733
2015-04-01,22.630272,24.123869,21.498756,21.951363,19.555176,44231810
2015-05-01,21.951363,22.449228,21.091412,22.268187,19.837412,67105610
2015-06-01,22.177666,22.630272,20.321983,21.408236,19.071333,71840265
2015-07-01,21.498756,23.399700,20.503025,20.684067,18.426216,99992655
2015-08-01,20.684067,21.544018,16.972704,18.466301,16.844563,71369513
2015-09-01,18.285259,22.358707,17.380049,20.503025,18.702417,81027430
2015-10-01,20.638807,21.136673,18.421040,18.511560,16.885849,72803143
2015-11-01,18.602081,19.462032,17.923174,18.104216,16.514277,69192577
2015-12-01,18.149477,19.326250,17.063225,17.515829,15.977563,107670237
2016-01-01,17.470570,18.421040,15.886450,16.701139,15.234421,93435102
2016-02-01,16.927443,17.380049,14.800197,15.071760,13.748137,74415530
2016-03-01,15.071760,16.339054,15.026500,15.976971,14.573850,63447699
2016-04-01,15.886450,16.927443,15.614887,16.520098,15.069278,58165987
2016-05-01,16.474836,17.832653,15.931710,17.244267,15.729850,104374530
2016-06-01,17.289528,18.873646,16.836922,17.696873,16.142708,119833966
2016-07-01,17.742132,21.091412,17.742132,19.280991,18.031841,179246003
2016-08-01,19.326250,20.729328,18.828384,20.367245,19.047720,86296014
2016-09-01,20.276722,22.992355,19.190470,19.778856,18.497450,129492902
2016-10-01,19.914639,23.082876,19.914639,21.498756,20.105925,168079671
2016-11-01,21.634539,22.041883,18.194738,19.462032,18.201153,102170382
2016-12-01,19.552553,20.503025,16.791660,17.742132,16.592678,127906150
2017-01-01,17.787394,19.778856,17.651611,18.873646,17.650885,100068299
2017-02-01,18.964167,21.362974,18.783125,20.850000,19.499199,280053130
2017-03-01,21.000000,21.600000,19.650000,21.350000,19.966805,191913835
2017-04-01,21.549999,25.950001,21.049999,25.700001,24.034985,393036802
2017-05-01,25.700001,28.549999,24.200001,28.150000,26.326258,645564586
2017-06-01,28.200001,29.900000,27.000000,27.750000,25.952171,282528769
2017-07-01,27.900000,32.000000,27.200001,30.150000,28.196684,308484228
2017-08-01,30.100000,30.350000,25.350000,27.850000,26.426619,200527010
2017-09-01,27.950001,32.000000,27.400000,28.200001,26.758730,361944235
2017-10-01,28.200001,33.250000,27.700001,30.549999,28.988623,600058124
2017-11-01,31.000000,33.450001,29.700001,32.900002,31.218521,291974957
2017-12-01,33.000000,33.250000,29.250000,31.000000,29.415627,179470373
2018-01-01,31.400000,34.750000,29.950001,30.150000,28.609066,328586574
2018-02-01,30.250000,30.549999,25.500000,26.600000,25.240503,204925373
2018-03-01,26.700001,26.700001,22.250000,22.799999,21.634718,186851347
2018-04-01,22.950001,27.150000,22.900000,26.450001,25.098169,185520563
2018-05-01,26.450001,27.450001,23.900000,24.049999,22.820829,279925838
2018-06-01,24.400000,25.500000,21.200001,22.299999,21.160271,172024276
2018-07-01,22.450001,23.750000,17.650000,18.250000,17.317263,321014574
2018-08-01,18.250000,18.650000,17.400000,17.549999,16.965771,261597376
2018-09-01,17.500000,17.700001,12.850000,13.150000,12.712245,224286611
2018-10-01,13.250000,15.350000,12.450000,14.650000,14.162311,519354778
2018-11-01,14.600000,16.250000,14.200000,16.100000,15.564041,309968299
2018-12-01,16.150000,16.950001,14.850000,15.550000,15.032351,278189778
2019-01-01,15.500000,16.150000,12.850000,13.150000,12.712245,380426734
2019-02-01,13.200000,14.450000,12.650000,13.200000,12.760580,246437291
2019-03-01,13.300000,16.750000,13.250000,16.500000,15.950726,450251476
2019-04-01,16.549999,18.500000,15.450000,15.550000,15.032351,395717096
2019-05-01,15.550000,16.400000,13.100000,14.150000,13.678955,338004032
2019-06-01,14.300000,14.400000,12.850000,13.000000,12.567238,232342978
2019-07-01,13.050000,13.400000,12.000000,12.250000,11.842205,146536414
2019-08-01,12.350000,12.350000,10.100000,10.900000,10.745390,100886890
2019-09-01,10.900000,12.500000,10.550000,10.850000,10.696099,75589360
2019-10-01,10.900000,11.400000,9.900000,11.150000,10.991843,106738904
2019-11-01,11.250000,11.850000,10.450000,11.200000,11.041135,101388170
2019-12-01,11.200000,11.250000,10.050000,10.100000,9.956738,66998292
2020-01-01,10.100000,11.450000,10.100000,10.450000,10.301773,119576478
2020-02-01,10.450000,10.500000,9.250000,9.250000,9.118794,94011708
2020-03-01,9.400000,9.450000,4.800000,5.700000,5.619149,290938547
2020-04-01,5.700000,6.550000,5.500000,5.900000,5.816312,202320317
2020-05-01,5.900000,5.900000,4.850000,4.900000,4.830496,210378261
2020-06-01,4.950000,9.250000,4.900000,8.050000,7.935816,734600609
2020-07-01,7.650000,8.450000,6.650000,6.900000,6.802128,391977048
2020-08-01,6.900000,7.900000,6.750000,7.250000,7.147163,442070547
2020-09-01,7.300000,7.500000,6.400000,6.750000,6.654255,175648381
2020-10-01,6.800000,7.050000,6.250000,6.450000,6.358510,116659084
2020-11-01,6.500000,7.700000,6.350000,7.550000,7.442908,271253462
2020-12-01,7.650000,10.650000,6.550000,9.000000,8.872340,761241015
2021-01-01,9.100000,10.150000,7.600000,8.250000,8.132978,452404651
2021-02-01,8.350000,10.250000,8.000000,9.850000,9.710284,561927307
2021-03-01,10.100000,10.850000,8.100000,8.250000,8.132978,518980696
