Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,56.799999,62.099998,55.700001,58.099998,54.643196,173372170
2020-02-01,57.799999,58.400002,46.049999,46.700001,43.921471,176876778
2020-03-01,47.099998,47.799999,31.200001,32.849998,30.895508,280494068
2020-04-01,32.299999,37.500000,29.950001,31.700001,29.813932,220863759
2020-05-01,31.700001,37.500000,27.000000,36.549999,34.375370,843415386
2020-06-01,37.599998,47.400002,37.200001,44.849998,42.181538,902184415
2020-07-01,45.000000,53.200001,44.049999,48.700001,45.802479,705843749
2020-08-01,48.799999,63.400002,48.349998,58.750000,57.035080,839623244
2020-09-01,59.599998,61.599998,50.099998,53.299999,51.744164,532454834
2020-10-01,53.500000,56.900002,51.650002,52.150002,50.627735,343691496
2020-11-01,52.400002,65.250000,52.000000,64.900002,63.005562,548180944
2020-12-01,65.599998,78.800003,65.000000,75.650002,73.441765,883534028
2021-01-01,76.000000,88.000000,74.449997,75.400002,73.199059,681515058
2021-02-01,76.400002,97.650002,74.500000,95.150002,92.372566,1020963949
2021-03-01,96.599998,114.500000,95.550003,103.250000,100.236107,1597077901
2021-04-01,103.900002,107.349998,89.900002,98.849998,95.964546,857428757
2021-05-01,97.949997,111.150002,96.349998,106.449997,103.342705,779164292
2021-06-01,106.400002,132.699997,103.699997,122.099998,118.535889,1490440703
2021-07-01,122.800003,128.449997,118.400002,125.000000,122.863243,567863571
2021-08-01,126.550003,137.000000,121.699997,129.050003,126.844017,688128549
2021-09-01,129.699997,161.199997,128.699997,158.750000,156.036331,705913470
2021-10-01,158.750000,267.850006,156.600006,214.300003,210.636749,2596675894
2021-11-01,219.949997,252.500000,213.100006,216.800003,213.094009,1364614418
2021-12-01,220.000000,236.500000,202.800003,220.949997,217.173065,724231023
2022-01-01,221.199997,252.149994,216.000000,246.050003,241.844009,640453708
2022-02-01,249.500000,257.899994,203.250000,223.050003,219.237167,785239707
2022-03-01,223.050003,244.899994,212.250000,238.649994,234.570496,448244719
2022-04-01,237.649994,298.049988,237.100006,242.350006,238.207260,1104721302
2022-05-01,240.000000,254.199997,210.199997,235.149994,231.130325,565156889
2022-06-01,233.600006,236.850006,190.000000,202.199997,198.743576,392146856
2022-07-01,202.699997,234.000000,200.600006,221.899994,219.852478,308827740
2022-08-01,222.300003,241.899994,221.600006,236.949997,234.763611,374026438
2022-09-01,235.050003,251.149994,210.250000,216.500000,214.502304,437407908
2022-10-01,216.500000,229.000000,211.800003,226.000000,223.914642,194033580
2022-11-01,226.500000,234.500000,218.399994,224.800003,222.725723,185775823
2022-12-01,225.250000,230.300003,194.600006,207.699997,205.783508,239604270
2023-01-01,208.750000,214.649994,196.649994,212.899994,210.935516,170515574
2023-02-01,214.899994,215.399994,196.649994,202.550003,200.681030,187661781
2023-03-01,203.300003,212.899994,182.350006,190.250000,188.494522,193495876
2023-04-01,193.350006,201.550003,192.050003,201.100006,199.244415,113884758
2023-05-01,201.100006,219.000000,199.399994,213.550003,211.579529,197822001
2023-06-01,213.949997,226.350006,213.000000,221.850006,219.802948,182817638
2023-07-01,222.899994,238.899994,216.750000,236.699997,236.699997,248549367
2023-08-01,237.399994,252.800003,228.050003,245.100006,245.100006,297012689
2023-09-01,246.750000,276.500000,246.100006,262.299988,262.299988,283232963
2023-10-01,262.299988,266.500000,230.800003,239.350006,239.350006,142120975
2023-11-01,239.949997,265.500000,236.300003,262.649994,262.649994,109517120
2023-11-17,262.899994,264.950012,261.399994,262.649994,262.649994,6447789
